Field [T],Moment (m) [emu],Moment (m) [emu]_lin-part,Moment (m) [emu]_y-lin-subtract
2.000020798,-7.81e-05,-0.00011818365566020141,4.0083655660201414e-05
1.9901690050000003,-7.75e-05,-0.00011760150125825127,4.010150125825127e-05
1.9801555069999999,-7.7e-05,-0.00011700979151164784,4.000979151164784e-05
1.9701468850000001,-7.62e-05,-0.0001164183698938007,4.02183698938007e-05
1.9601403750000002,-7.61e-05,-0.00011582707307659613,3.972707307659612e-05
1.950134076,-7.53e-05,-0.00011523578872763755,3.993578872763755e-05
1.940128757,-7.45e-05,-0.00011464456228806807,4.014456228806808e-05
1.93012296,-7.4e-05,-0.0001140533076028986,4.00533076028986e-05
1.920118838,-7.39e-05,-0.00011346215189551147,3.956215189551148e-05
1.9101132490000001,-7.27e-05,-0.00011287090950131438,4.017090950131438e-05
1.9001082880000002,-7.23e-05,-0.00011227970421639928,3.997970421639928e-05
1.89010493,-7.15e-05,-0.00011168859365469914,4.018859365469913e-05
1.880099153,-7.08e-05,-0.00011109734015135394,4.029734015135394e-05
1.8700949740000001,-7.03e-05,-0.00011050618107576766,4.020618107576766e-05
1.860091567,-7.02e-05,-0.00010991506761859808,3.971506761859808e-05
1.850086092,-6.94e-05,-0.0001093238319607993,3.992383196079929e-05
1.840082985,-6.87e-05,-0.00010873273623099372,4.003273623099372e-05
1.830079308,-6.82e-05,-0.00010814160681919653,3.9941606819196524e-05
1.820073839,-6.76e-05,-0.00010755037151594504,3.995037151594504e-05
1.8100699830000002,-6.68e-05,-0.00010695923152682068,4.0159231526820685e-05
1.800067039,-6.65e-05,-0.00010636814542888287,3.986814542888286e-05
1.790062081,-6.6e-05,-0.00010577694032124139,3.9776940321241384e-05
1.7800589380000003,-6.51e-05,-0.00010518584246415214,4.0085842464152144e-05
1.7700538820000002,-6.46e-05,-0.00010459463156557177,3.999463156557177e-05
1.7600514480000002,-6.4e-05,-0.00010400357560415276,4.0003575604152764e-05
1.750046417,-6.34e-05,-0.0001034123661828527,4.00123661828527e-05
1.740042322,-6.29e-05,-0.00010282121207092833,3.9921212070928336e-05
1.7300397840000001,-6.22e-05,-0.00010223014996402315,4.0030149964023155e-05
1.7200334750000004,-6.1e-05,-0.00010163886502415246,4.0638865024152466e-05
1.7100312979999999,-6.08e-05,-0.00010104782424917527,4.024782424917527e-05
1.7000280380000001,-6.07e-05,-0.00010045671947841406,3.9756719478414065e-05
1.6900226090000001,-5.98e-05,-9.98654865388111e-05,4.006548653881111e-05
1.6800196360000001,-5.92e-05,-9.927439872722811e-05,4.007439872722811e-05
1.6700155490000002,-5.88e-05,-9.868324508803345e-05,3.988324508803345e-05
1.660011839,-5.82e-05,-9.809211372622623e-05,3.989211372622623e-05
1.650008546,-5.76e-05,-9.750100700545496e-05,3.990100700545496e-05
1.640004551,-5.69e-05,-9.690985880265193e-05,4.0009858802651934e-05
1.63000026,-5.66e-05,-9.631869310884976e-05,3.9718693108849755e-05
1.619996076,-5.54e-05,-9.572753373780741e-05,4.032753373780741e-05
1.609993536,-5.51e-05,-9.513647151271978e-05,4.0036471512719786e-05
1.5999885990000002,-5.47e-05,-9.454526764599381e-05,3.984526764599381e-05
1.589985967,-5.37e-05,-9.395419998451456e-05,4.025419998451456e-05
1.579982776,-5.35e-05,-9.336309929104704e-05,3.9863099291047045e-05
1.569978332,-5.31e-05,-9.277192455628923e-05,3.967192455628923e-05
1.559975748,-5.23e-05,-9.218085973118823e-05,3.9880859731188236e-05
1.5499699290000002,-5.17e-05,-9.158960374601208e-05,3.988960374601208e-05
1.53996687,-5.13e-05,-9.099851085258472e-05,3.969851085258472e-05
1.5299634990000002,-5.02e-05,-9.040739952269884e-05,4.0207399522698836e-05
1.51995841,-5e-05,-8.98161866741084e-05,3.98161866741084e-05
1.509957229,-4.97e-05,-8.922520475397972e-05,3.952520475397972e-05
1.49995111,-4.89e-05,-8.863393104143956e-05,3.9733931041439556e-05
1.489948803,-4.81e-05,-8.804288258460465e-05,3.9942882584604655e-05
1.479944745,-4.78e-05,-8.745173065905518e-05,3.9651730659055175e-05
1.4699411190000002,-4.71e-05,-8.686060426090988e-05,3.976060426090988e-05
1.459937811,-4.7e-05,-8.626949665377041e-05,3.926949665377041e-05
1.44993334,-4.6e-05,-8.567832032354983e-05,3.967832032354983e-05
1.439930208,-4.54e-05,-8.508722311646392e-05,3.9687223116463925e-05
1.429926202,-4.53e-05,-8.449607426365755e-05,3.919607426365754e-05
1.4199228970000002,-4.43e-05,-8.390496683379173e-05,3.9604966833791726e-05
1.4099191590000002,-4.36e-05,-8.331383381743053e-05,3.9713833817430524e-05
1.3999151140000001,-4.35e-05,-8.272268266006683e-05,3.922268266006683e-05
1.389912687,-4.26e-05,-8.213162711228633e-05,3.9531627112286326e-05
1.379908108,-4.19e-05,-8.15404444002147e-05,3.96404444002147e-05
1.36990421,-4.16e-05,-8.094930192925937e-05,3.934930192925937e-05
1.3599010070000002,-4.12e-05,-8.035820052669732e-05,3.915820052669732e-05
1.349896395,-4.01e-05,-7.976701586461565e-05,3.966701586461565e-05
1.3398936760000002,-3.99e-05,-7.917594306220085e-05,3.9275943062200854e-05
1.329889339,-3.94e-05,-7.858477465020285e-05,3.9184774650202846e-05
1.319885542,-3.87e-05,-7.799363814746006e-05,3.929363814746006e-05
1.309882991,-3.79e-05,-7.74025752723691e-05,3.9502575272369104e-05
1.299878251,-3.77e-05,-7.681138304661214e-05,3.9111383046612135e-05
1.289873713,-3.65e-05,-7.622020275728026e-05,3.972020275728026e-05
1.279871194,-3.61e-05,-7.562914177310812e-05,3.952914177310812e-05
1.2698672860000002,-3.56e-05,-7.503799871124067e-05,3.943799871124067e-05
1.259863229,-3.52e-05,-7.444684684478241e-05,3.9246846844782405e-05
1.249858974,-3.43e-05,-7.38556832782639e-05,3.95556832782639e-05
1.2398554190000002,-3.4e-05,-7.326456107559477e-05,3.926456107559477e-05
1.2298509800000001,-3.34e-05,-7.267338663629301e-05,3.927338663629301e-05
1.219847145,-3.29e-05,-7.20822478880841e-05,3.91822478880841e-05
1.209843833,-3.23e-05,-7.14911400445798e-05,3.91911400445798e-05
1.199839603,-3.2e-05,-7.089997795534163e-05,3.889997795534163e-05
1.189836713,-3.09e-05,-7.030889504832935e-05,3.940889504832935e-05
1.1798314010000002,-3.05e-05,-6.971766902239835e-05,3.9217669022398354e-05
1.169829524,-3e-05,-6.912664597478518e-05,3.912664597478518e-05
1.159822468,-2.91e-05,-6.853531689377811e-05,3.943531689377811e-05
1.1498203770000002,-2.89e-05,-6.79442812006453e-05,3.90442812006453e-05
1.139815824,-2.83e-05,-6.735310002494521e-05,3.9053100024945216e-05
1.12981202,-2.77e-05,-6.676196310856392e-05,3.906196310856393e-05
1.1198077450000001,-2.69e-05,-6.617079836022118e-05,3.9270798360221176e-05
1.109803903,-2.67e-05,-6.557965919837379e-05,3.887965919837379e-05
1.099798639,-2.61e-05,-6.498843600882103e-05,3.888843600882103e-05
1.089794442,-2.51e-05,-6.439727586959292e-05,3.9297275869592917e-05
1.0797917670000001,-2.51e-05,-6.38062056671915e-05,3.8706205667191494e-05
1.069786229,-2.44e-05,-6.321496628664627e-05,3.881496628664628e-05
1.059783073,-2.35e-05,-6.262386766137124e-05,3.912386766137124e-05
1.049777522,-2.32e-05,-6.203262751264026e-05,3.8832627512640256e-05
1.039774524,-2.28e-05,-6.144153822377693e-05,3.864153822377693e-05
1.02976998,-2.18e-05,-6.0850357579897775e-05,3.9050357579897774e-05
1.0197657390000001,-2.14e-05,-6.025919484065628e-05,3.885919484065628e-05
1.0097604530000002,-2.08e-05,-5.966797035109683e-05,3.886797035109683e-05
0.9997561305,-2.03e-05,-5.907680279592142e-05,3.8776802795921424e-05
0.9897521443,-1.98e-05,-5.848565511312107e-05,3.868565511312107e-05
0.9797469531999999,-1.92e-05,-5.7894436231317763e-05,3.8694436231317764e-05
0.9697431002,-1.84e-05,-5.730329641946703e-05,3.890329641946703e-05
0.9597385245,-1.81e-05,-5.671211390239642e-05,3.861211390239642e-05
0.9497331222000002,-1.75e-05,-5.612088254052887e-05,3.862088254052887e-05
0.9397295363,-1.69e-05,-5.552975851194121e-05,3.86297585119412e-05
0.9297244321000001,-1.65e-05,-5.493854476516435e-05,3.843854476516435e-05
0.9197189560000001,-1.58e-05,-5.4347309042365246e-05,3.854730904236525e-05
0.9097163973000001,-1.53e-05,-5.375624571227194e-05,3.845624571227194e-05
0.8997099899000001,-1.49e-05,-5.3164954957825844e-05,3.826495495782584e-05
0.8897074403,-1.41e-05,-5.257389216546258e-05,3.847389216546258e-05
0.8797015166,-1.34e-05,-5.198262999343638e-05,3.8582629993436377e-05
0.8696976229000001,-1.3e-05,-5.1391487776573266e-05,3.839148777657327e-05
0.8596917606000001,-1.26e-05,-5.080022923274757e-05,3.820022923274757e-05
0.8496864157,-1.16e-05,-5.0209001262715653e-05,3.860900126271565e-05
0.8396825262000001,-1.15e-05,-4.9617859294035635e-05,3.8117859294035633e-05
0.8296767867000001,-1.07e-05,-4.9026608006610934e-05,3.832660800661093e-05
0.8196735304,-1.01e-05,-4.84355034544872e-05,3.83355034544872e-05
0.8096670902,-1e-05,-4.784421076184931e-05,3.784421076184931e-05
0.7996625923,-8.92e-06,-4.725303284207509e-05,3.833303284207509e-05
0.7896585466000001,-8.39e-06,-4.6661881643347554e-05,3.8271881643347554e-05
0.779651564,-8.13e-06,-4.607055689963555e-05,3.794055689963555e-05
0.7696490844,-7.32e-06,-4.547949824365722e-05,3.815949824365722e-05
0.7596429001000001,-6.99e-06,-4.488822067246083e-05,3.789822067246083e-05
0.7496391895,-6.44e-06,-4.4297089275198866e-05,3.785708927519887e-05
0.7396339084000001,-5.88e-06,-4.370586507518637e-05,3.782586507518637e-05
0.72962867,-5.3e-06,-4.311464339836867e-05,3.781464339836867e-05
0.7196245394,-4.7e-06,-4.2523487182797115e-05,3.7823487182797116e-05
0.7096189579000001,-3.86e-06,-4.193224523178412e-05,3.807224523178412e-05
0.6996140482000001,-3.52e-06,-4.1341042978248255e-05,3.7821042978248255e-05
0.6896086501,-3.02e-06,-4.074981186456379e-05,3.772981186456379e-05
0.6796042389000001,-2.27e-06,-4.015863906799777e-05,3.7888639067997774e-05
0.6695991785000001,-1.99e-06,-3.956742790941605e-05,3.757742790941605e-05
0.6595933656,-1.22e-06,-3.897617228469628e-05,3.7756172284696284e-05
0.6495900676999999,-7.48e-07,-3.838506527437807e-05,3.763706527437807e-05
0.6395832812,-1.59e-07,-3.7793752118453e-05,3.7634752118453e-05
0.6295795225,4.95e-07,-3.7202617878903695e-05,3.7697617878903696e-05
0.6195742414000001,8.94e-07,-3.661139367889119e-05,3.750539367889119e-05
0.6095686244,1.6e-06,-3.6020149630140124e-05,3.762014963014012e-05
0.5995656762,2.25e-06,-3.542906328401922e-05,3.767906328401922e-05
0.5895578804,2.45e-06,-3.483769048733253e-05,3.728769048733253e-05
0.5795549746,3.25e-06,-3.4246606646679075e-05,3.749660664667907e-05
0.5695492349000001,4e-06,-3.365535534743614e-05,3.765535534743614e-05
0.5595451724,4.31e-06,-3.30642031559762e-05,3.73742031559762e-05
0.5495392325,4.99e-06,-3.247294002667235e-05,3.746294002667235e-05
0.5395355749,5.55e-06,-3.1881811761244705e-05,3.7431811761244705e-05
0.5295292013,6.04e-06,-3.1290523004081626e-05,3.733052300408162e-05
0.5195245967000001,6.62e-06,-3.069933877927494e-05,3.7319338779274944e-05
0.5095207073,6.95e-06,-3.0108196816504043e-05,3.705819681650404e-05
0.4995145441,7.79e-06,-2.951692049213225e-05,3.730692049213225e-05
0.4895107891,8.19e-06,-2.8925786471220426e-05,3.7115786471220424e-05
0.47950485740000004,8.66e-06,-2.833452382646452e-05,3.699452382646452e-05
0.469500994,9.28e-06,-2.774338340006517e-05,3.702338340006517e-05
0.4594962132,9.76e-06,-2.71521887633867e-05,3.69121887633867e-05
0.44949014900000006,1.05e-05,-2.656091828904503e-05,3.706091828904503e-05
0.4394872331,1.09e-05,-2.5969833851570313e-05,3.6869833851570314e-05
0.4294814061,1.14e-05,-2.537857739366445e-05,3.677857739366445e-05
0.4194775242,1.23e-05,-2.478743587407765e-05,3.7087435874077655e-05
0.40947065990000003,1.25e-05,-2.4196118120856185e-05,3.6696118120856184e-05
0.3994675938,1.31e-05,-2.360502480788123e-05,3.670502480788123e-05
0.389462238,1.37e-05,-2.301379619375509e-05,3.671379619375509e-05
0.3794567131,1.43e-05,-2.242255758730477e-05,3.672255758730477e-05
0.3694535863,1.47e-05,-2.1831460687493167e-05,3.6531460687493165e-05
0.3594471898,1.54e-05,-2.12401705771413e-05,3.66401705771413e-05
0.3494433725,1.56e-05,-2.0649032874846886e-05,3.6249032874846886e-05
0.3394381144,1.62e-05,-2.0057810033932286e-05,3.625781003393229e-05
0.3294337188,1.7e-05,-1.9466638159189195e-05,3.6466638159189195e-05
0.3194291011,1.76e-05,-1.887545316028762e-05,3.647545316028762e-05
0.3094275151,1.8e-05,-1.8284447308217528e-05,3.628444730821753e-05
0.2994196912,1.86e-05,-1.7693072851067743e-05,3.629307285106775e-05
0.28941389170000004,1.93e-05,-1.7101818018170245e-05,3.640181801817024e-05
0.27940991860000003,1.95e-05,-1.6510671109464787e-05,3.601067110946478e-05
0.2694063631,2.04e-05,-1.591954887725002e-05,3.631954887725002e-05
0.2593989522,2.08e-05,-1.5328198824771344e-05,3.612819882477135e-05
0.24939652900000003,2.13e-05,-1.4737143501537448e-05,3.603714350153745e-05
0.23939210830000002,2.17e-05,-1.4145970143604901e-05,3.58459701436049e-05
0.22938592319999998,2.25e-05,-1.3554692525135534e-05,3.6054692525135535e-05
0.2193816163,2.3e-05,-1.2963525891783067e-05,3.5963525891783064e-05
0.2093792173,2.34e-05,-1.2372471998556531e-05,3.577247199855653e-05
0.1993732333,2.41e-05,-1.178120626333017e-05,3.588120626333017e-05
0.18936600309999999,2.43e-05,-1.1189866888633742e-05,3.5489866888633745e-05
0.17936557350000001,2.52e-05,-1.059892936964276e-05,3.579892936964276e-05
0.1693599869,2.57e-05,-1.000768711726458e-05,3.570768711726458e-05
0.15935356950000001,2.61e-05,-9.416395771906356e-06,3.551639577190635e-05
0.1493497298,2.71e-05,-8.82525674596876e-06,3.592525674596876e-05
0.1393471319,2.73e-05,-8.234191099499892e-06,3.553419109949989e-05
0.129341642,2.77e-05,-7.64295456124204e-06,3.5342954561242036e-05
0.11933537690000001,2.83e-05,-7.051672215475609e-06,3.5351672215475606e-05
0.1093333189,2.89e-05,-6.4606384723528225e-06,3.536063847235282e-05
0.09932948751000001,2.91e-05,-5.86949993746321e-06,3.496949993746321e-05
0.08932222732,2.97e-05,-5.278158790621295e-06,3.497815879062129e-05
0.07931867315,3.04e-05,-4.687036636997844e-06,3.508703663699784e-05
0.06931561143000001,3.12e-05,-4.095943582842403e-06,3.52959435828424e-05
0.05931048125,3.14e-05,-3.5047283008758154e-06,3.4904728300875815e-05
0.04930438815,3.15e-05,-2.9134561187980782e-06,3.4413456118798077e-05
0.03930174375000001,3.27e-05,-2.322387724587789e-06,3.502238772458779e-05
0.02929940782,3.27e-05,-1.7313375582440782e-06,3.443133755824408e-05
0.019284774100000002,3.35e-05,-1.1395607005678602e-06,3.463956070056786e-05
0.009287960005,3.42e-05,-5.488368261541661e-07,3.474883682615416e-05
-0.0007167699384,3.47e-05,4.2354805346103894e-08,3.46576451946539e-05
-0.01072031984,1.48e-05,6.334767067446194e-07,1.4166523293255382e-05
-0.02072454853,-3.39e-05,1.2246387185732924e-06,-3.512463871857329e-05
-0.0307282693,-3.32e-05,1.8157707167928852e-06,-3.5015770716792886e-05
-0.040734289660000006,-3.3e-05,2.4070386005757645e-06,-3.540703860057577e-05
-0.05073716149,-3.22e-05,2.998120433900704e-06,-3.5198120433900704e-05
-0.06074057316,-3.19e-05,3.589234167026253e-06,-3.5489234167026256e-05
-0.07074637751,-3.12e-05,4.180489286516138e-06,-3.538048928651614e-05
-0.08074866491,-3.11e-05,4.771536585163266e-06,-3.587153658516326e-05
-0.09075242245,-2.99e-05,5.362670756166773e-06,-3.526267075616677e-05
-0.1007558763,-2.98e-05,5.953786981759702e-06,-3.57537869817597e-05
-0.110762131,-2.93e-05,6.545068712977514e-06,-3.5845068712977514e-05
-0.12076472470000002,-2.89e-05,7.136134111263289e-06,-3.603613411126329e-05
-0.13076796340000002,-2.84e-05,7.727237623381667e-06,-3.6127237623381666e-05
-0.1407740415,-2.76e-05,8.318508919091202e-06,-3.59185089190912e-05
-0.1507770216,-2.74e-05,8.90959715022181e-06,-3.630959715022181e-05
-0.1607799678,-2.65e-05,9.500683378160287e-06,-3.600068337816029e-05
-0.170785925,-2.6e-05,1.0091947529742131e-05,-3.609194752974213e-05
-0.180789913,-2.55e-05,1.0683095318906665e-05,-3.618309531890667e-05
-0.19079160250000002,-2.49e-05,1.1274107286917337e-05,-3.6174107286917336e-05
-0.20079634000000002,-2.47e-05,1.186529936494627e-05,-3.656529936494627e-05
-0.210802128,-2.39e-05,1.2456553518294815e-05,-3.6356553518294814e-05
-0.2208038193,-2.34e-05,1.3047565592669671e-05,-3.644756559266967e-05
-0.23080800720000003,-2.31e-05,1.3638725194167752e-05,-3.673872519416775e-05
-0.2408126524,-2.24e-05,1.4229911818077693e-05,-3.662991181807769e-05
-0.25081613160000005,-2.19e-05,1.4821029541632882e-05,-3.672102954163288e-05
-0.2608164891,-2.11e-05,1.541196280014738e-05,-3.651196280014738e-05
-0.2708234052,-2.06e-05,1.6003283614293694e-05,-3.660328361429369e-05
-0.2808275357,-2.03e-05,1.6594439823956133e-05,-3.6894439823956135e-05
-0.29083090040000004,-1.97e-05,1.7185550781567394e-05,-3.688555078156739e-05
-0.3008347733,-1.91e-05,1.777669176933327e-05,-3.687669176933327e-05
-0.31084040970000004,-1.87e-05,1.8367936964453875e-05,-3.7067936964453875e-05
-0.32084195,-1.77e-05,1.8958940116055513e-05,-3.665894011605551e-05
-0.3308470157,-1.73e-05,1.9550151587820666e-05,-3.6850151587820666e-05
-0.34084994980000005,-1.69e-05,2.014123710075546e-05,-3.7041237100755465e-05
-0.3508533634,-1.62e-05,2.073235094792705e-05,-3.6932350947927055e-05
-0.3608583845,-1.58e-05,2.1323559784224087e-05,-3.712355978422409e-05
-0.3708607922,-1.51e-05,2.191461419154418e-05,-3.7014614191544176e-05
-0.3808653813,-1.47e-05,2.2505797500437052e-05,-3.7205797500437054e-05
-0.39086847560000004,-1.43e-05,2.3096892479784226e-05,-3.739689247978423e-05
-0.40087309000000004,-1.36e-05,2.3688077283684797e-05,-3.7288077283684795e-05
-0.4108767607,-1.33e-05,2.4279206323207335e-05,-3.757920632320733e-05
-0.42087880750000006,-1.24e-05,2.4870239404508537e-05,-3.7270239404508534e-05
-0.43088439520000005,-1.18e-05,2.546148172188705e-05,-3.726148172188705e-05
-0.4408865032,-1.11e-05,2.60525184195705e-05,-3.71525184195705e-05
-0.4508914666,-1.07e-05,2.6643723846304526e-05,-3.734372384630452e-05
-0.46089524400000004,-1.05e-05,2.7234859190859532e-05,-3.773485919085953e-05
-0.47089868020000003,-1e-05,2.7825974373492547e-05,-3.7825974373492546e-05
-0.4809036582,-9.32e-06,2.8417180662958283e-05,-3.773718066295828e-05
-0.49090555020000004,-8.59e-06,2.9008204596939658e-05,-3.759820459693966e-05
-0.5009105821000001,-8.18e-06,2.9599414071421803e-05,-3.77794140714218e-05
-0.5109131905000001,-7.51e-06,3.019048033834841e-05,-3.770048033834841e-05
-0.5209181321,-7.01e-06,3.078168447689398e-05,-3.7791684476893985e-05
-0.5309204715,-6.39e-06,3.13727348482842e-05,-3.77627348482842e-05
-0.5409254245,-5.89e-06,3.196393966046961e-05,-3.785393966046961e-05
-0.5509271305000001,-5.32e-06,3.2554952603485304e-05,-3.787495260348531e-05
-0.5609320091,-4.8e-06,3.3146153019284436e-05,-3.794615301928444e-05
-0.5709359836,-3.76e-06,3.373730001071759e-05,-3.749730001071759e-05
-0.5809381104,-3.62e-06,3.4328337819315857e-05,-3.794833781931586e-05
-0.5909430853000001,-2.98e-06,3.491954392559884e-05,-3.789954392559884e-05
-0.6009457073,-2.73e-06,3.5510610996165945e-05,-3.824061099616595e-05
-0.6109518574,-1.86e-06,3.6101886546442844e-05,-3.796188654644284e-05
-0.6209538155000001,-1.36e-06,3.669291438635342e-05,-3.805291438635342e-05
-0.6309577093000001,-7.22e-07,3.7284056609125655e-05,-3.800605660912565e-05
-0.6409617602000001,-3.04e-07,3.7875208115127513e-05,-3.8179208115127516e-05
-0.6509642625000001,2.83e-07,3.846626811247639e-05,-3.818326811247639e-05
